     900    1.80000000 -0.39751957E-05  0.83021522E-08  0.52517802E-07   863.99999996   -23332.17025632
     910    1.82000000 -0.39873920E-05  0.75934537E-08  0.51911993E-07   863.99999996   -23332.16983706
     920    1.84000000 -0.39985491E-05  0.69139481E-08  0.51353551E-07   863.99999996   -23332.16940926
     930    1.86000000 -0.40085871E-05  0.62671080E-08  0.50847237E-07   863.99999996   -23332.16897300
     940    1.88000000 -0.40174300E-05  0.56561050E-08  0.50397064E-07   863.99999996   -23332.16852836
     950    1.90000000 -0.40250064E-05  0.50839603E-08  0.50006695E-07   863.99999996   -23332.16807546
     960    1.92000000 -0.40312494E-05  0.45533405E-08  0.49679234E-07   863.99999996   -23332.16761442
     970    1.94000000 -0.40360982E-05  0.40668861E-08  0.49417216E-07   863.99999996   -23332.16714537
     980    1.96000000 -0.40394981E-05  0.36265905E-08  0.49222368E-07   863.99999995   -23332.16666847
     990    1.98000000 -0.40414009E-05  0.32343236E-08  0.49096032E-07   863.99999995   -23332.16618390
    1000    2.00000000 -0.40417653E-05  0.28917102E-08  0.49038658E-07   863.99999995   -23332.16569184
    1010    2.02000000 -0.40405571E-05  0.25998980E-08  0.49050350E-07   863.99999995   -23332.16519249
    1020    2.04000000 -0.40377498E-05  0.23597202E-08  0.49130440E-07   863.99999995   -23332.16468607
    1030    2.06000000 -0.40333241E-05  0.21716950E-08  0.49277641E-07   863.99999995   -23332.16417282
    1040    2.08000000 -0.40272678E-05  0.20360006E-08  0.49490105E-07   863.99999995   -23332.16365297
    1050    2.10000000 -0.40195760E-05  0.19522290E-08  0.49765218E-07   863.99999995   -23332.16312679
    1060    2.12000000 -0.40102504E-05  0.19197946E-08  0.50100072E-07   863.99999995   -23332.16259454
    1070    2.14000000 -0.39992997E-05  0.19378640E-08  0.50491068E-07   863.99999995   -23332.16205650
    1080    2.16000000 -0.39867386E-05  0.20050745E-08  0.50934199E-07   863.99999995   -23332.16151295
    1090    2.18000000 -0.39725880E-05  0.21197793E-08  0.51424875E-07   863.99999995   -23332.16096419
    1100    2.20000000 -0.39568738E-05  0.22800802E-08  0.51958354E-07   863.99999995   -23332.16041052
    1110    2.22000000 -0.39396266E-05  0.24836701E-08  0.52529522E-07   863.99999995   -23332.15985225
    1120    2.24000000 -0.39208814E-05  0.27281779E-08  0.53132731E-07   863.99999995   -23332.15928969
    1130    2.26000000 -0.39006765E-05  0.30107998E-08  0.53762595E-07   863.99999995   -23332.15872316
    1140    2.28000000 -0.38790536E-05  0.33285811E-08  0.54413244E-07   863.99999995   -23332.15815297
    1150    2.30000000 -0.38560567E-05  0.36782387E-08  0.55078491E-07   863.99999995   -23332.15757946
    1160    2.32000000 -0.38317321E-05  0.40563344E-08  0.55752184E-07   863.99999995   -23332.15700293
    1170    2.34000000 -0.38061275E-05  0.44591896E-08  0.56428201E-07   863.99999995   -23332.15642373
    1180    2.36000000 -0.37792916E-05  0.48829666E-08  0.57100370E-07   863.99999995   -23332.15584217
    1190    2.38000000 -0.37512738E-05  0.53234722E-08  0.57762428E-07   863.99999995   -23332.15525858
    1200    2.40000000 -0.37221229E-05  0.57765145E-08  0.58408307E-07   863.99999995   -23332.15467329
    1210    2.42000000 -0.36918874E-05  0.62378523E-08  0.59032261E-07   863.99999994   -23332.15408661
    1220    2.44000000 -0.36606139E-05  0.67032567E-08  0.59628708E-07   863.99999994   -23332.15349886
    1230    2.46000000 -0.36283473E-05  0.71684246E-08  0.60192280E-07   863.99999994   -23332.15291038
    1240    2.48000000 -0.35951301E-05  0.76291305E-08  0.60718141E-07   863.99999994   -23332.15232146
    1250    2.50000000 -0.35610018E-05  0.80813500E-08  0.61201740E-07   863.99999994   -23332.15173244
    1260    2.52000000 -0.35259983E-05  0.85211144E-08  0.61638862E-07   863.99999994   -23332.15114362
    1270    2.54000000 -0.34901523E-05  0.89445140E-08  0.62025735E-07   863.99999994   -23332.15055532
    1280    2.56000000 -0.34534921E-05  0.93479878E-08  0.62358998E-07   863.99999994   -23332.14996784
    1290    2.58000000 -0.34160424E-05  0.97278386E-08  0.62635748E-07   863.99999994   -23332.14938150
    1300    2.60000000 -0.33778238E-05  0.10080689E-07  0.62853542E-07   863.99999994   -23332.14879660
    1310    2.62000000 -0.33388524E-05  0.10403052E-07  0.63010276E-07   863.99999994   -23332.14821345
    1320    2.64000000 -0.32991406E-05  0.10691806E-07  0.63104312E-07   863.99999994   -23332.14763237
    1330    2.66000000 -0.32586970E-05  0.10943786E-07  0.63134446E-07   863.99999994   -23332.14705366
    1340    2.68000000 -0.32175263E-05  0.11156347E-07  0.63099917E-07   863.99999994   -23332.14647763
    1350    2.70000000 -0.31756302E-05  0.11326872E-07  0.63000624E-07   863.99999994   -23332.14590460
    1360    2.72000000 -0.31330063E-05  0.11453122E-07  0.62836668E-07   863.99999994   -23332.14533487
    1370    2.74000000 -0.30896494E-05  0.11533163E-07  0.62608635E-07   863.99999994   -23332.14476877
    1380    2.76000000 -0.30455506E-05  0.11565314E-07  0.62317545E-07   863.99999994   -23332.14420661
    1390    2.78000000 -0.30006989E-05  0.11548218E-07  0.61964938E-07   863.99999994   -23332.14364872
    1400    2.80000000 -0.29550803E-05  0.11480767E-07  0.61552525E-07   863.99999994   -23332.14309542
    1410    2.82000000 -0.29086795E-05  0.11362318E-07  0.61082367E-07   863.99999994   -23332.14254704
    1420    2.84000000 -0.28614790E-05  0.11192405E-07  0.60556758E-07   863.99999994   -23332.14200392
    1430    2.86000000 -0.28134605E-05  0.10970907E-07  0.59978460E-07   863.99999994   -23332.14146639
    1440    2.88000000 -0.27646046E-05  0.10698030E-07  0.59350117E-07   863.99999993   -23332.14093479
    1450    2.90000000 -0.27148916E-05  0.10374425E-07  0.58674694E-07   863.99999993   -23332.14040948
    1460    2.92000000 -0.26643016E-05  0.10000881E-07  0.57955139E-07   863.99999993   -23332.13989080
    1470    2.94000000 -0.26128152E-05  0.95783350E-08  0.57194338E-07   863.99999993   -23332.13937910
    1480    2.96000000 -0.25604136E-05  0.91082877E-08  0.56395213E-07   863.99999993   -23332.13887476
    1490    2.98000000 -0.25070793E-05  0.85922260E-08  0.55560653E-07   863.99999993   -23332.13837811
    1500    3.00000000 -0.24527959E-05  0.80318481E-08  0.54693432E-07   863.99999993   -23332.13788954
    1510    3.02000000 -0.23975490E-05  0.74292890E-08  0.53796250E-07   863.99999993   -23332.13740941
    1520    3.04000000 -0.23413265E-05  0.67868905E-08  0.52871514E-07   863.99999993   -23332.13693810
    1530    3.06000000 -0.22841190E-05  0.61072973E-08  0.51921849E-07   863.99999993   -23332.13647596
    1540    3.08000000 -0.22259198E-05  0.53935725E-08  0.50949414E-07   863.99999993   -23332.13602337
    1550    3.10000000 -0.21667255E-05  0.46486329E-08  0.49956461E-07   863.99999993   -23332.13558071
    1560    3.12000000 -0.21065355E-05  0.38758994E-08  0.48952950E-07   863.99999993   -23332.13514834
    1570    3.14000000 -0.20453532E-05  0.30788154E-08  0.48020788E-07   863.99999993   -23332.13472663
    1580    3.16000000 -0.19831852E-05  0.22611582E-08  0.47286995E-07   863.99999993   -23332.13431595
    1590    3.18000000 -0.19200417E-05  0.14265830E-08  0.46779451E-07   863.99999993   -23332.13391665
    1600    3.20000000 -0.18559365E-05  0.57859840E-09  0.46284602E-07   863.99999993   -23332.13352910
    1610    3.22000000 -0.17908872E-05 -0.27896067E-09  0.45217078E-07   863.99999993   -23332.13315364
    1620    3.24000000 -0.17249150E-05 -0.11426830E-08  0.42506953E-07   863.99999993   -23332.13279061
    1630    3.26000000 -0.16580453E-05 -0.20092348E-08  0.36509964E-07   863.99999993   -23332.13244036
    1640    3.28000000 -0.15903071E-05 -0.28758954E-08  0.24942995E-07   863.99999993   -23332.13210320
    1650    3.30000000 -0.15217335E-05 -0.37399614E-08  0.48450003E-08   863.99999993   -23332.13177944
    1660    3.32000000 -0.14523615E-05 -0.45995594E-08 -0.27435104E-07   863.99999993   -23332.13146937
    1670    3.34000000 -0.13822323E-05 -0.54529741E-08 -0.76225745E-07   863.99999992   -23332.13117323
    1680    3.36000000 -0.13113903E-05 -0.62989242E-08 -0.14649649E-06   863.99999992   -23332.13089117
    1690    3.38000000 -0.12398827E-05 -0.71363484E-08 -0.24379742E-06   863.99999992   -23332.13062326
    1700    3.40000000 -0.11677588E-05 -0.79639649E-08 -0.37417530E-06   863.99999992   -23332.13036934
    1710    3.42000000 -0.10950687E-05 -0.87803317E-08 -0.54406787E-06   863.99999992   -23332.13012899
    1720    3.44000000 -0.10218622E-05 -0.95827537E-08 -0.76017697E-06   863.99999992   -23332.12990139
    1730    3.46000000 -0.94818767E-06 -0.10367382E-07 -0.10293228E-05   863.99999992   -23332.12968510
    1740    3.48000000 -0.87409081E-06 -0.11128242E-07 -0.13582814E-05   863.99999992   -23332.12947795
    1750    3.50000000 -0.79961273E-06 -0.11856993E-07 -0.17536095E-05   863.99999992   -23332.12927671
    1760    3.52000000 -0.72478899E-06 -0.12542164E-07 -0.22214573E-05   863.99999992   -23332.12907684
    1770    3.54000000 -0.64964805E-06 -0.13168514E-07 -0.27673757E-05   863.99999992   -23332.12887221
    1780    3.56000000 -0.57420997E-06 -0.13716584E-07 -0.33961185E-05   863.99999992   -23332.12865470
    1790    3.58000000 -0.49848525E-06 -0.14162204E-07 -0.41114471E-05   863.99999992   -23332.12841390
    1800    3.60000000 -0.42247381E-06 -0.14475770E-07 -0.49159378E-05   863.99999992   -23332.12813680
    1810    3.62000000 -0.34616411E-06 -0.14622397E-07 -0.58107977E-05   863.99999992   -23332.12780750
    1820    3.64000000 -0.26953247E-06 -0.14561146E-07 -0.67956922E-05   863.99999992   -23332.12740694
    1830    3.66000000 -0.19254315E-06 -0.14245391E-07 -0.78685861E-05   863.99999992   -23332.12691288
    1840    3.68000000 -0.11514803E-06 -0.13622543E-07 -0.90256040E-05   863.99999992   -23332.12629984
    1850    3.70000000 -0.37287277E-07 -0.12634547E-07 -0.10260911E-04   863.99999992   -23332.12553930
    1860    3.72000000  0.41110014E-07 -0.11218225E-07 -0.11566615E-04   863.99999992   -23332.12460004
    1870    3.74000000  0.12012451E-06 -0.93058519E-08 -0.12932696E-04   863.99999992   -23332.12344878
    1880    3.76000000  0.19984519E-06 -0.68259995E-08 -0.14346961E-04   863.99999992   -23332.12205093
    1890    3.78000000  0.28036708E-06 -0.37044813E-08 -0.15795027E-04   863.99999991   -23332.12037169
    1900    3.80000000  0.36178940E-06  0.13446474E-09 -0.17260341E-04   863.99999991   -23332.11837733
    1910    3.82000000  0.44421277E-06  0.47666816E-08 -0.18724219E-04   863.99999991   -23332.11603672
    1920    3.84000000  0.52773585E-06  0.10266518E-07 -0.20165934E-04   863.99999991   -23332.11332306
    1930    3.86000000  0.61245251E-06  0.16705355E-07 -0.21562824E-04   863.99999991   -23332.11021573
    1940    3.88000000  0.69844796E-06  0.24149291E-07 -0.22890440E-04   863.99999991   -23332.10670224
    1950    3.90000000  0.78579534E-06  0.32657390E-07 -0.24122726E-04   863.99999991   -23332.10278022
    1960    3.92000000  0.87455202E-06  0.42279422E-07 -0.25232230E-04   863.99999991   -23332.09845923
    1970    3.94000000  0.96475630E-06  0.53053751E-07 -0.26190344E-04   863.99999991   -23332.09376247
    1980    3.96000000  0.10564236E-05  0.65004804E-07 -0.26967578E-04   863.99999991   -23332.08872807
    1990    3.98000000  0.11495430E-05  0.78140998E-07 -0.27533849E-04   863.99999991   -23332.08340997
    2000    4.00000000  0.12440747E-05  0.92452341E-07 -0.27858809E-04   863.99999991   -23332.07787826
    2010    4.02000000  0.13399463E-05  0.10790827E-06 -0.27912178E-04   863.99999991   -23332.07221868
    2020    4.04000000  0.14370516E-05  0.12445564E-06 -0.27664105E-04   863.99999991   -23332.06653140
    2030    4.06000000  0.15352478E-05  0.14201649E-06 -0.27085537E-04   863.99999991   -23332.06092879
    2040    4.08000000  0.16343538E-05  0.16048669E-06 -0.26148603E-04   863.99999991   -23332.05553218
    2050    4.10000000  0.17341495E-05  0.17973420E-06 -0.24827001E-04   863.99999991   -23332.05046747
    2060    4.12000000  0.18343748E-05  0.19959801E-06 -0.23096389E-04   863.99999991   -23332.04585970
    2070    4.14000000  0.19347295E-05  0.21988718E-06 -0.20934770E-04   863.99999991   -23332.04182643
    2080    4.16000000  0.20348741E-05  0.24038045E-06 -0.18322880E-04   863.99999991   -23332.03847013
    2090    4.18000000  0.21344310E-05  0.26082618E-06 -0.15244554E-04   863.99999991   -23332.03586951
    2100    4.20000000  0.22329861E-05  0.28094246E-06 -0.11687081E-04   863.99999991   -23332.03407020
    2110    4.22000000  0.23300916E-05  0.30041792E-06 -0.76415464E-05   863.99999991   -23332.03307467
    2120    4.24000000  0.24252693E-05  0.31891302E-06 -0.31031368E-05   863.99999990   -23332.03283193
    2130    4.26000000  0.25180141E-05  0.33606171E-06  0.19285721E-05   863.99999990   -23332.03322715
    2140    4.28000000  0.26077983E-05  0.35147353E-06  0.74493646E-05   863.99999990   -23332.03407150
    2150    4.30000000  0.26940759E-05  0.36473649E-06  0.13450168E-04   863.99999990   -23332.03509279
    2160    4.32000000  0.27762879E-05  0.37541984E-06  0.19916876E-04   863.99999990   -23332.03592711
    2170    4.34000000  0.28538670E-05  0.38307855E-06  0.26830210E-04   863.99999990   -23332.03611195
    2180    4.36000000  0.29262434E-05  0.38725644E-06  0.34165631E-04   863.99999990   -23332.03508131
    2190    4.38000000  0.29928498E-05  0.38749173E-06  0.41893288E-04   863.99999990   -23332.03216305
    2200    4.40000000  0.30531267E-05  0.38332150E-06  0.49978028E-04   863.99999990   -23332.02657902
    2210    4.42000000  0.31065279E-05  0.37428743E-06  0.58379443E-04   863.99999990   -23332.01744817
    2220    4.44000000  0.31525254E-05  0.35994094E-06  0.67051975E-04   863.99999990   -23332.00379310
    2230    4.46000000  0.31906142E-05  0.33984994E-06  0.75945077E-04   863.99999990   -23331.98455006
    2240    4.48000000  0.32203172E-05  0.31360449E-06  0.85003412E-04   863.99999990   -23331.95858270
    2250    4.50000000  0.32411891E-05  0.28082328E-06  0.94167123E-04   863.99999990   -23331.92469954
    2260    4.52000000  0.32528202E-05  0.24116011E-06  0.10337214E-03   863.99999990   -23331.88167508
    2270    4.54000000  0.32548404E-05  0.19431024E-06  0.11255054E-03   863.99999990   -23331.82827437
    2280    4.56000000  0.32469216E-05  0.14001696E-06  0.12163098E-03   863.99999990   -23331.76328070
    2290    4.58000000  0.32287814E-05  0.78077848E-07  0.13053913E-03   863.99999990   -23331.68552603
    2300    4.60000000  0.32001844E-05  0.83510159E-08  0.13919822E-03   863.99999990   -23331.59392354
    2310    4.62000000  0.31609457E-05 -0.69239279E-07  0.14752956E-03   863.99999990   -23331.48750166
    2320    4.64000000  0.31109317E-05 -0.15469673E-06  0.15545315E-03   863.99999990   -23331.36543874
    2330    4.66000000  0.30500634E-05 -0.24794799E-06  0.16288834E-03   863.99999989   -23331.22709757
    2340    4.68000000  0.29783182E-05 -0.34883801E-06  0.16975446E-03   863.99999989   -23331.07205866
    2350    4.70000000  0.28957325E-05 -0.45712576E-06  0.17597153E-03   863.99999989   -23330.90015139
    2360    4.72000000  0.28024052E-05 -0.57248074E-06  0.18146100E-03   863.99999989   -23330.71148190
    2370    4.74000000  0.26985013E-05 -0.69448002E-06  0.18614648E-03   863.99999989   -23330.50645673
    2380    4.76000000  0.25842562E-05 -0.82260650E-06  0.18995447E-03   863.99999989   -23330.28580116
    2390    4.78000000  0.24599809E-05 -0.95624757E-06  0.19281514E-03   863.99999989   -23330.05057125
    2400    4.80000000  0.23260684E-05 -0.10946950E-05  0.19466307E-03   863.99999989   -23329.80215890
    2410    4.82000000  0.21830003E-05 -0.12371457E-05  0.19543797E-03   863.99999989   -23329.54228893
    2420    4.84000000  0.20313540E-05 -0.13827038E-05  0.19508540E-03   863.99999989   -23329.27300789
    2430    4.86000000  0.18718120E-05 -0.15303840E-05  0.19355743E-03   863.99999989   -23328.99666400
    2440    4.88000000  0.17051701E-05 -0.16791156E-05  0.19081327E-03   863.99999989   -23328.71587824
    2450    4.90000000  0.15323469E-05 -0.18277489E-05  0.18681986E-03   863.99999989   -23328.43350651
    2460    4.92000000  0.13543927E-05 -0.19750616E-05  0.18155232E-03   863.99999989   -23328.15259338
    2470    4.94000000  0.11724988E-05 -0.21197677E-05  0.17499444E-03   863.99999988   -23327.87631779
    2480    4.96000000  0.98800561E-06 -0.22605267E-05  0.16713898E-03   863.99999988   -23327.60793174
    2490    4.98000000  0.80240901E-06 -0.23959553E-05  0.15798791E-03   863.99999988   -23327.35069300
    2500    5.00000000  0.61736602E-06 -0.25246391E-05  0.14755261E-03   863.99999988   -23327.10779312
    2510    5.02000000  0.43469693E-06 -0.26451462E-05  0.13585386E-03   863.99999988   -23326.88228223
