# Fourier-transform spectra: 
# sigma: Conductivity
# eps: Dielectric constant
# 1:Energy[eV] 2:Re(sigma_x)[1/fs*V*Angstrom] 3:Re(sigma_y)[1/fs*V*Angstrom] 4:Re(sigma_z)[1/fs*V*Angstrom] 5:Im(sigma_x)[1/fs*V*Angstrom] 6:Im(sigma_y)[1/fs*V*Angstrom] 7:Im(sigma_z)[1/fs*V*Angstrom] 8:Re(eps_x)[none] 9:Re(eps_y)[none] 10:Re(eps_z)[none] 11:Im(eps_x)[none] 12:Im(eps_y)[none] 13:Im(eps_z)[none]
      0.73000000 -0.399294544050431E-004 -0.595338879021193E-004 -0.120870708592967E-002 -0.582218427245684E-004  0.340892508401369E-004 -0.434116294049467E-001  0.101795102956310E+001  0.989489560601675E+000  0.143847265281052E+002 -0.123110980848613E-001 -0.183555609325721E-001 -0.372670043016356E+000
      0.74000000 -0.347104168116176E-004 -0.627429195627434E-004 -0.120241343494878E-002 -0.692344540756695E-004  0.222012885702696E-004 -0.441198599074632E-001  0.102105798576869E+001  0.993247373363437E+000  0.144192634931792E+002 -0.105573369935924E-001 -0.190835549276388E-001 -0.365719717722562E+000
      0.75000000 -0.279801091422272E-004 -0.628722897393982E-004 -0.119094945449984E-002 -0.777587763461096E-004  0.104429631361680E-004 -0.448285820990444E-001  0.102333535594641E+001  0.996866073858557E+000  0.144530270280721E+002 -0.839681174182874E-002 -0.188679314307140E-001 -0.357403122076343E+000
      0.76000000 -0.209954535814336E-004 -0.603771398930211E-004 -0.117517081394517E-002 -0.831223284055434E-004  0.274236256819534E-007 -0.455364605877435E-001  0.102461673119249E+001  0.999991878475559E+000  0.144856521857359E+002 -0.621781712558457E-002 -0.178807289380317E-001 -0.348027594835914E+000
      0.77000000 -0.153084354255263E-004 -0.562025465210381E-004 -0.115632903360207E-002 -0.854009931650927E-004 -0.818507863905710E-005 -0.462424136148184E-001  0.102496309742315E+001  0.100239253558899E+001  0.145168671155464E+002 -0.447472506771258E-002 -0.164282591131174E-001 -0.338000218138241E+000
      0.78000000 -0.122795814607057E-004 -0.515687559005090E-004 -0.113610256362959E-002 -0.854973506128341E-004 -0.138705652379794E-004 -0.469457912055908E-001  0.102467086233240E+001  0.100400244923388E+001  0.145465385022677E+002 -0.354335966606037E-002 -0.148805275058842E-001 -0.327830391724242E+000
      0.79000000 -0.126303858278211E-004 -0.476954372720301E-004 -0.111643663780319E-002 -0.849033450724021E-004 -0.173149660288537E-004 -0.476466544673304E-001  0.102418933813287E+001  0.100493311032297E+001  0.145747423711913E+002 -0.359845272618201E-002 -0.135886408077834E-001 -0.318077730773916E+000
      0.80000000 -0.162283719446795E-004 -0.455100008264233E-004 -0.109914001877055E-002 -0.852374069234884E-004 -0.193556841538851E-004 -0.483459256879774E-001  0.102398095740732E+001  0.100544558843397E+001  0.146017932335948E+002 -0.456574068172809E-002 -0.128039253048303E-001 -0.309235474496341E+000
      0.81000000 -0.221968502503057E-004 -0.454027923134526E-004 -0.108541427785244E-002 -0.877542396597704E-004 -0.211822770352865E-004 -0.490452199477764E-001  0.102438424786591E+001  0.100588591383841E+001  0.146281825753530E+002 -0.616783303512640E-002 -0.126160621511622E-001 -0.301603784511903E+000
      0.82000000 -0.292887006867057E-004 -0.471053582443100E-004 -0.107559324865533E-002 -0.930405258062158E-004 -0.240232832900218E-004 -0.497463855260043E-001  0.102553786455107E+001  0.100659393688306E+001  0.146544419161437E+002 -0.803919436753625E-002 -0.129295298801125E-001 -0.295230002820671E+000
      0.83000000 -0.363363303989548E-004 -0.497520997754190E-004 -0.106925388778891E-002 -0.101016597711267E-003 -0.287971540838033E-004 -0.504509993327616E-001  0.102739308343525E+001  0.100780904190389E+001  0.146810035719502E+002 -0.985347114139025E-002 -0.134914801241118E-001 -0.289953944453630E+000
