# Units: Energy [eV], DOS [1/eV]
energy,dos
-7.19965202261853,3.1589716028844763e-117
-7.189647672901262,3.0196014293956497e-115
-7.179643323183993,2.7732147227487407e-113
-7.169638973466725,2.4470761964623014e-111
-7.159634623749456,2.0746353158136529e-109
-7.149630274032188,1.6899213404606426e-107
-7.139625924314919,1.3225796908279858e-105
-7.1296215745976514,9.945074596919294e-104
-7.119617224880383,7.184975550359556e-102
-7.109612875163115,4.987395784995928e-100
-7.099608525445846,3.3262425764470496e-98
-7.089604175728578,2.1314042348498833e-96
-7.079599826011309,1.3122296654174493e-94
-7.069595476294041,7.762226736768435e-93
-7.059591126576772,4.411594578518516e-91
-7.049586776859504,2.4090068881870942e-89
-7.039582427142236,1.2639039728743025e-87
-7.029578077424968,6.371242747716451e-86
-7.019573727707699,3.0858068941751e-84
-7.009569377990431,1.435979965284616e-82
-6.999565028273162,6.420422769545108e-81
-6.989560678555894,2.758132308526855e-79
-6.979556328838625,1.138422454847671e-77
-6.969551979121357,4.5147054329923406e-76
-6.9595476294040886,1.7202587414019357e-74
-6.949543279686821,6.297923177219297e-73
-6.939538929969552,2.2153435718261803e-71
-6.929534580252284,7.487312406962935e-70
-6.919530230535015,2.4313810337966255e-68
-6.909525880817747,7.586185523275947e-67
-6.899521531100478,2.2742516233792552e-65
-6.88951718138321,6.550878505823643e-64
-6.8795128316659415,1.8130426650994377e-62
-6.869508481948674,4.8213153880243015e-61
-6.859504132231405,1.2318953614664851e-59
-6.849499782514137,3.0243686052682604e-58
-6.839495432796868,7.134281826044119e-57
-6.8294910830796,1.6170469180882992e-55
-6.819486733362331,3.521714611213759e-54
-6.809482383645063,7.369659578957792e-53
-6.7994780339277945,1.4818532078323645e-51
-6.7894736842105265,2.8630597721496617e-50
-6.779469334493258,5.315282405960568e-49
-6.76946498477599,9.481923757375473e-48
-6.759460635058721,1.6253411415935422e-46
-6.749456285341453,2.677161838009889e-45
-6.739451935624184,4.2373188977620335e-44
-6.729447585906916,6.444642840060293e-43
-6.7194432361896475,9.418958200225305e-42
-6.7094388864723795,1.3228443216540962e-40
-6.699434536755111,1.7853461743444125e-39
-6.689430187037843,2.3155300475164217e-38
-6.679425837320574,2.886022068654812e-37
-6.669421487603306,3.456826804497665e-36
-6.659417137886037,3.979169396570815e-35
-6.649412788168769,4.402027806987259e-34
-6.6394084384515,4.6802393662378944e-33
-6.6294040887342325,4.7824273153380024e-32
-6.619399739016964,4.696827237935047e-31
-6.609395389299696,4.4335169269262254e-30
-6.599391039582427,4.02246511934696e-29
-6.589386689865159,3.507921084204776e-28
-6.57938234014789,2.9405964016676345e-27
-6.569377990430622,2.3695431413299903e-26
-6.559373640713353,1.8354984930773586e-25
-6.5493692909960854,1.366851871426444e-24
-6.539364941278817,9.785565075819785e-24
-6.529360591561549,6.735467412395453e-23
-6.51935624184428,4.457472207159154e-22
-6.509351892127012,2.8364279793967062e-21
-6.499347542409743,1.7355683662905848e-20
-6.489343192692475,1.0212327579107127e-19
