# Units: Time [fs], Current Jm [1/fs*Angstrom^2], Electric field El_f[V/Angstrom], Energy En[eV]
time,El_f_pump_z,El_f_probe_x,Jm_both_z,Jm_both_y,Jm_both_x,En_both_z,En_both_x
6.802,-0.0892128675564639,-0.0195023355068754,0.0335462975416213,-0.000627971893918438,0.002636441215045,0.5188686753611518,0.0048456854752637075
6.822,-0.0939044379975918,-0.0199372759507817,0.0316402816821424,-0.000599864727258914,0.0025559054944371603,0.52842717019828,0.005009578781053043
6.842,-0.0980957181078593,-0.0203684757557769,0.029540834390021,-0.000569404681316249,0.00246783588123537,0.5378252728677749,0.005171585047570124
6.862,-0.101781194020783,-0.0207958566813819,0.0272521058914793,-0.0005369707874322559,0.0023741730852810602,0.5468987948292102,0.0053310126801446815
6.882,-0.10495806627085902,-0.0212193413894755,0.0247811957969286,-0.0005029084696900139,0.00227696248867477,0.5554885916186316,0.005487280905647902
6.902,-0.10762621197057001,-0.0216388534621779,0.0221382244894248,-0.000467523652107087,0.00217831483271736,0.5634439814991461,0.005639936856605049
6.922,-0.10978813130243101,-0.0220543174200617,0.0193363267857574,-0.000431078500496266,0.00208036649253873,0.5706260966869552,0.005788670196604324
6.942,-0.11144887889674,-0.0224656587397501,0.0163915689031033,-0.000393788609686106,0.00198523989473553,0.5769110468914164,0.005933324937790349
6.962,-0.112615980761329,-0.0228728038714035,0.0133227920575219,-0.00035582241175356803,0.00189500484209594,0.5821927778115219,0.006073908162808481
6.982,-0.113299337519946,-0.0232756802560326,0.0101513880810453,-0.00031730203832136,0.0018116405406699398,0.5863855162731372,0.006210595395531368
7.002,-0.113511114799616,-0.0236742163423632,0.006901012865503021,-0.000278305833583073,0.0017369995124636,0.5894257077664241,0.006343732420294125
7.022,-0.11326562168482301,-0.0240683416038135,0.0035972463790603705,-0.000238872826829829,0.00167277335741233,0.591273370919105,0.006473833424641914
7.042,-0.11257917822556,-0.0244579865548059,0.0002672078206482,-0.00019900838080806399,0.00162046059566496,0.5919128157841302,0.006601575365276381
7.062,-0.11146997304968198,-0.0248430827671402,-0.00306086431320929,-0.000158691097072995,0.00158133754550885,0.5913526973119048,0.006727788536382883
7.082,-0.109957912181431,-0.0252235628860382,-0.00635805729090842,-0.00011788083479833799,0.00155643202874752,0.589625400930771,0.006853443397145623
7.102,-0.108064460216578,-0.0255993606457052,-0.00959524334286814,-7.65271097752117e-05,0.00154650038587359,0.586785782749922,0.006979633728235622
7.122,-0.105812475039411,-0.0259704108849262,-0.0127435429740555,-3.45780356180098e-05,0.00155200873731569,0.5829093110096238,0.007107556325316905
7.142,-0.103226037294487,-0.0263366495623507,-0.0157747821596434,8.010586966038389e-06,0.00157311845019201,0.5780896770095311,0.007238487483214909
