# Fourier-transform spectra: 
# sigma: Conductivity
# eps: Dielectric constant
# 1:Energy[eV] 2:Re(sigma_x)[1/fs*V*Angstrom] 3:Re(sigma_y)[1/fs*V*Angstrom] 4:Re(sigma_z)[1/fs*V*Angstrom] 5:Im(sigma_x)[1/fs*V*Angstrom] 6:Im(sigma_y)[1/fs*V*Angstrom] 7:Im(sigma_z)[1/fs*V*Angstrom] 8:Re(eps_x)[none] 9:Re(eps_y)[none] 10:Re(eps_z)[none] 11:Im(eps_x)[none] 12:Im(eps_y)[none] 13:Im(eps_z)[none]
      0.31000000 -0.305744930117195E-003  0.622508179266192E-003  0.681937765857303E-002 -0.111259683864940E-002  0.200808413538705E-002 -0.107041339926313E-001  0.180779731120528E+001 -0.457962946586081E+000  0.877170162421552E+001 -0.221985110764047E+000  0.451970036176765E+000  0.495118693971458E+001
      0.32000000 -0.203768117052013E-003  0.605922570969524E-003  0.644825212058761E-002 -0.103439256012098E-002  0.214296865290495E-002 -0.117844268294074E-001  0.172754805730368E+001 -0.507273679637955E+000  0.928866832256598E+001 -0.143321890950454E+000  0.426180355873564E+000  0.453542831242824E+001
      0.33000000 -0.127317176356655E-003  0.565798817740366E-003  0.608354163317074E-002 -0.919766216254077E-003  0.231297490471927E-002 -0.129668977149006E-001  0.162732094668345E+001 -0.577550448409534E+000  0.984399362175732E+001 -0.868359048089432E-001  0.385899638087181E+000  0.414924252387917E+001
      0.34000000 -0.935789130539043E-004  0.482855641157396E-003  0.577049497946901E-002 -0.785877557183014E-003  0.249835350084556E-002 -0.142498169392274E-001  0.152023820792796E+001 -0.653869532436275E+000  0.104331478994491E+002 -0.619477240214305E-001  0.319642609904852E+000  0.381997416714259E+001
      0.35000000 -0.108063168812732E-003  0.352127620216247E-003  0.554817896877928E-002 -0.657173523537255E-003  0.267252359163473E-002 -0.156125434204570E-001  0.142260855974560E+001 -0.718619672727665E+000  0.110399578689218E+002 -0.694921790027121E-001  0.226442699068653E+000  0.356786729718838E+001
      0.36000000 -0.161943906855361E-003  0.183696699632152E-003  0.544263799615379E-002 -0.557881535307903E-003  0.281068861947124E-002 -0.170212339738477E-001  0.134879139516659E+001 -0.757261968570385E+000  0.116417932293075E+002 -0.101248450855494E+000  0.114848447380203E+000  0.340277492607361E+001
      0.37000000 -0.234130119104275E-003 -0.101971289280009E-005  0.546398651812378E-002 -0.503813795089839E-003  0.289698737073531E-002 -0.184359072197124E-001  0.130647468428002E+001 -0.762264746345375E+000  0.122147362768610E+002 -0.142423560117344E+000 -0.620300972150715E-003  0.332379454348534E+001
      0.38000000 -0.297954471381557E-003 -0.175601365774200E-003  0.560644457187855E-002 -0.496497567353340E-003  0.292829748228257E-002 -0.198167929839333E-001  0.129407614987948E+001 -0.734434377759174E+000  0.127375120581940E+002 -0.176478817913134E+000 -0.104008915563738E+000  0.332070435510798E+001
      0.39000000 -0.330403805599325E-003 -0.315266176217322E-003  0.584982131183337E-002 -0.522204692341794E-003  0.291431649668621E-002 -0.211295927749281E-001  0.130137167951407E+001 -0.681893077795309E+000  0.131941854514410E+002 -0.190680687614612E+000 -0.181944548591698E+000  0.337601423246220E+001
      0.40000000 -0.320431305426729E-003 -0.402066418965554E-003  0.616196826182339E-002 -0.556724399464284E-003  0.287486111130169E-002 -0.223503709408180E-001  0.131326115124913E+001 -0.617644748953573E+000  0.135762458740862E+002 -0.180302281938479E+000 -0.226237235883616E+000  0.346725466589371E+001
      0.41000000 -0.272904839803170E-003 -0.428011364692426E-003  0.650305499818994E-002 -0.574330162464348E-003  0.283581741230233E-002 -0.234703497048181E-001  0.131528553325585E+001 -0.556756485185436E+000  0.138843341443770E+002 -0.149814433524179E+000 -0.234962048271310E+000  0.356993119445253E+001
      0.42000000 -0.206372667279350E-003 -0.396399367315500E-003  0.683269443315869E-002 -0.557434785464510E-003  0.282477994684695E-002 -0.244993215738575E-001  0.129872464349199E+001 -0.513775969079549E+000  0.141289817101166E+002 -0.110593387903025E+000 -0.212427108550645E+000  0.366158385134545E+001
      0.43000000 -0.145448000952658E-003 -0.321805673701323E-003  0.711942237482633E-002 -0.502940939412135E-003  0.286667585688217E-002 -0.254652057375561E-001  0.126325389682967E+001 -0.500501413056291E+000  0.143292283817991E+002 -0.761317085891400E-001 -0.168442437242814E+000  0.372651247190190E+001
      0.44000000 -0.111008747696558E-003 -0.228681393863975E-003  0.734972653331431E-002 -0.422652098056018E-003  0.297932347996537E-002 -0.264078680565593E-001  0.121620046723673E+001 -0.524022077213219E+000  0.145084941937214E+002 -0.567846302662352E-001 -0.116978064060584E+000  0.375962716823921E+001
      0.45000000 -0.112368504624386E-003 -0.148032230569036E-003  0.753251981185662E-002 -0.337744961203508E-003  0.316928937767594E-002 -0.273678725265921E-001  0.116892838894715E+001 -0.585169314651938E+000  0.146884665824591E+002 -0.562028531438551E-001 -0.740406196828868E-001  0.376750679564604E+001
      0.46000000 -0.144571342480623E-003 -0.111876486698111E-003  0.769605569024919E-002 -0.269940990974064E-003  0.342924884240840E-002 -0.283739631928309E-001  0.113208006734803E+001 -0.677905294872346E+000  0.148831637089153E+002 -0.707376548575798E-001 -0.547403113711163E-001  0.376562133158947E+001
